380;377;Small Shield Extender I;1;1
380;3685;Hydrogen Batteries;2;1
380;11484;R.A.M.- Shield Tech;1;0,05
380;11558;Sustained Shield Emitter;2;1
394;11484;R.A.M.- Shield Tech;1;0,1
394;3685;Hydrogen Batteries;1;1
394;9838;Superconductors;2;1
394;393;Shield Recharger I;1;1
400;399;Small Shield Booster I;1;1
400;9838;Superconductors;1;1
400;11484;R.A.M.- Shield Tech;1;0,1
400;11556;Pulse Shield Emitter;2;1
438;11549;Antimatter Reactor Unit;5;1
438;11530;Plasma Thruster;2;1
438;11531;Ion Thruster;10;1
438;11475;R.A.M.- Armor/Hull Tech;1;0,05
438;439;1MN Afterburner I;1;1
440;434;1MN Microwarpdrive I;1;1
440;11475;R.A.M.- Armor/Hull Tech;1;0,04
440;11531;Ion Thruster;10;1
440;11530;Plasma Thruster;16;1
440;11549;Antimatter Reactor Unit;5;1
448;11534;Gravimetric Sensor Cluster;2;1
448;11540;Quantum Microprocessor;6;1
448;11483;R.A.M.- Electronics;1;0,25
448;9840;Transmitter;5;1
448;9842;Miniature Electronics;10;1
448;447;Warp Scrambler I;1;1
482;483;Miner I;1;1
482;11482;R.A.M.- Energy Tech;1;0,2
482;3689;Mechanical Parts;5;1
482;11541;Photon Microprocessor;3;1
482;11689;Laser Focusing Crystals;2;1
519;11538;Nanomechanical Microprocessor;5;1
519;11483;R.A.M.- Electronics;1;0,15
519;3689;Mechanical Parts;5;1
519;9842;Miniature Electronics;2;1
519;11399;Morphite;3;1
519;520;Gyrostabilizer I;1;1
527;526;Stasis Webifier I;1;1
527;9842;Miniature Electronics;5;1
527;9840;Transmitter;8;1
527;11483;R.A.M.- Electronics;1;0,25
527;11538;Nanomechanical Microprocessor;2;1
582;34;Tritanium;17294;1
582;35;Pyerite;6475;1
582;36;Mexallon;2160;1
582;37;Isogen;404;1
583;37;Isogen;432;1
583;38;Nocxium;10;1
583;36;Mexallon;1754;1
583;35;Pyerite;2578;1
583;34;Tritanium;16001;1
583;39;Zydrine;1;1
584;39;Zydrine;8;1
584;40;Megacyte;3;1
584;34;Tritanium;28;1
584;35;Pyerite;1129;1
584;36;Mexallon;1;1
584;38;Nocxium;48;1
584;37;Isogen;200;1
