879;Carbonized Lead S Blueprint;178;Carbonized Lead S;300;100;1;6000;6000;6000;60;5;10;1500
880;Nuclear S Blueprint;179;Nuclear S;300;100;1;6000;6000;6000;60;5;10;1500
881;Proton S Blueprint;180;Proton S;300;100;1;6000;6000;6000;60;5;10;1500
882;Depleted Uranium S Blueprint;181;Depleted Uranium S;300;100;1;6000;6000;6000;60;5;10;1500
883;Titanium Sabot S Blueprint;182;Titanium Sabot S;300;100;1;6000;6000;6000;60;5;10;1500
884;Fusion S Blueprint;183;Fusion S;300;100;1;6000;6000;6000;60;5;10;1500
885;Phased Plasma S Blueprint;184;Phased Plasma S;300;100;1;6000;6000;6000;60;5;10;1500
886;EMP S Blueprint;185;EMP S;300;100;1;6000;6000;6000;60;5;10;1500
887;Carbonized Lead M Blueprint;186;Carbonized Lead M;300;100;1;6000;6000;6000;60;5;10;1500
888;Nuclear M Blueprint;187;Nuclear M;300;100;1;6000;6000;6000;60;5;10;1500
889;Proton M Blueprint;188;Proton M;300;100;1;6000;6000;6000;60;5;10;1500
890;Depleted Uranium M Blueprint;189;Depleted Uranium M;300;100;1;6000;6000;6000;60;5;10;1500
891;Titanium Sabot M Blueprint;190;Titanium Sabot M;300;100;1;6000;6000;6000;60;5;10;1500
892;Fusion M Blueprint;191;Fusion M;300;100;1;6000;6000;6000;60;5;10;1500
893;Phased Plasma M Blueprint;192;Phased Plasma M;300;100;1;6000;6000;6000;60;5;10;1500
894;EMP M Blueprint;193;EMP M;300;100;1;6000;6000;6000;60;5;10;1500
895;Carbonized Lead L Blueprint;194;Carbonized Lead L;300;100;1;6000;6000;6000;60;5;10;1500
896;Nuclear L Blueprint;195;Nuclear L;300;100;1;6000;6000;6000;60;5;10;1500
897;Proton L Blueprint;196;Proton L;300;100;1;6000;6000;6000;60;5;10;1500
898;Depleted Uranium L Blueprint;197;Depleted Uranium L;300;100;1;6000;6000;6000;60;5;10;1500
899;Titanium Sabot L Blueprint;198;Titanium Sabot L;300;100;1;6000;6000;6000;60;5;10;1500
900;Fusion L Blueprint;199;Fusion L;300;100;1;6000;6000;6000;60;5;10;1500
901;Phased Plasma L Blueprint;200;Phased Plasma L;300;100;1;6000;6000;6000;60;5;10;1500
902;EMP L Blueprint;201;EMP L;300;100;1;6000;6000;6000;60;5;10;1500
803;Mjolnir Cruise Missile Blueprint;202;Mjolnir Cruise Missile;300;100;1;6000;6000;6000;60;5;10;1500
804;Scourge Cruise Missile Blueprint;203;Scourge Cruise Missile;300;100;1;6000;6000;6000;60;5;10;1500
805;Inferno Cruise Missile Blueprint;204;Inferno Cruise Missile;300;100;1;6000;6000;6000;60;5;10;1500
806;Nova Cruise Missile Blueprint;205;Nova Cruise Missile;300;100;1;6000;6000;6000;60;5;10;1500
807;Nova Heavy Missile Blueprint;206;Nova Heavy Missile;300;100;1;6000;6000;6000;60;5;10;1500
808;Mjolnir Heavy Missile Blueprint;207;Mjolnir Heavy Missile;300;100;1;6000;6000;6000;60;5;10;1500
809;Inferno Heavy Missile Blueprint;208;Inferno Heavy Missile;300;100;1;6000;6000;6000;60;5;10;1500
810;Scourge Heavy Missile Blueprint;209;Scourge Heavy Missile;300;100;1;6000;6000;6000;60;5;10;1500
811;Scourge Light Missile Blueprint;210;Scourge Light Missile;300;100;1;6000;6000;6000;60;5;10;1500
812;Inferno Light Missile Blueprint;211;Inferno Light Missile;300;100;1;6000;6000;6000;60;5;10;1500
813;Mjolnir Light Missile Blueprint;212;Mjolnir Light Missile;300;100;1;6000;6000;6000;60;5;10;1500
814;Nova Light Missile Blueprint;213;Nova Light Missile;300;100;1;6000;6000;6000;60;5;10;1500
1130;Iron Charge S Blueprint;215;Iron Charge S;300;100;1;6000;6000;6000;60;5;10;1500
1131;Tungsten Charge S Blueprint;216;Tungsten Charge S;300;100;1;6000;6000;6000;60;5;10;1500
1132;Iridium Charge S Blueprint;217;Iridium Charge S;300;100;1;6000;6000;6000;60;5;10;1500
1133;Lead Charge S Blueprint;218;Lead Charge S;300;100;1;6000;6000;6000;60;5;10;1500
1134;Thorium Charge S Blueprint;219;Thorium Charge S;300;100;1;6000;6000;6000;60;5;10;1500
1135;Uranium Charge S Blueprint;220;Uranium Charge S;300;100;1;6000;6000;6000;60;5;10;1500
1136;Plutonium Charge S Blueprint;221;Plutonium Charge S;300;100;1;6000;6000;6000;60;5;10;1500
