178;34;Tritanium;24
178;35;Pyerite;19
179;34;Tritanium;34
179;35;Pyerite;29
180;34;Tritanium;52
180;35;Pyerite;21
180;37;Isogen;1
181;34;Tritanium;106
181;36;Mexallon;1
181;37;Isogen;2
182;34;Tritanium;52
182;35;Pyerite;58
182;36;Mexallon;1
183;34;Tritanium;146
183;35;Pyerite;3
183;37;Isogen;3
184;34;Tritanium;148
184;35;Pyerite;15
184;37;Isogen;3
185;34;Tritanium;184
185;35;Pyerite;15
185;38;Nocxium;1
186;34;Tritanium;148
186;35;Pyerite;15
186;37;Isogen;3
187;34;Tritanium;104
187;35;Pyerite;116
187;36;Mexallon;2
188;34;Tritanium;125
188;35;Pyerite;175
189;34;Tritanium;261
189;35;Pyerite;107
189;36;Mexallon;13
189;37;Isogen;2
190;34;Tritanium;259
190;35;Pyerite;229
191;34;Tritanium;215
191;35;Pyerite;286
191;36;Mexallon;1
192;34;Tritanium;601
192;35;Pyerite;32
192;36;Mexallon;4
192;37;Isogen;13
193;34;Tritanium;404
193;35;Pyerite;375
193;36;Mexallon;6
194;34;Tritanium;224
194;35;Pyerite;178
194;37;Isogen;1
195;34;Tritanium;468
195;35;Pyerite;90
195;36;Mexallon;2
195;37;Isogen;2
195;38;Nocxium;2
196;34;Tritanium;460
196;35;Pyerite;385
197;34;Tritanium;412
197;35;Pyerite;522
198;34;Tritanium;936
198;35;Pyerite;140
198;36;Mexallon;94
199;34;Tritanium;1112
199;35;Pyerite;201
199;36;Mexallon;99
200;34;Tritanium;1376
200;36;Mexallon;80
200;37;Isogen;21
201;34;Tritanium;1600
201;35;Pyerite;114
201;36;Mexallon;80
201;37;Isogen;26
202;34;Tritanium;2776
202;35;Pyerite;425
202;36;Mexallon;61
202;39;Zydrine;2
203;34;Tritanium;1680
203;35;Pyerite;130
203;36;Mexallon;15
203;38;Nocxium;2
203;39;Zydrine;2
204;34;Tritanium;1658
204;35;Pyerite;636
204;39;Zydrine;2
205;34;Tritanium;1302
205;36;Mexallon;73
205;37;Isogen;4
205;39;Zydrine;1
206;34;Tritanium;316
206;35;Pyerite;107
206;38;Nocxium;1
207;34;Tritanium;446
207;35;Pyerite;198
207;38;Nocxium;2
208;34;Tritanium;644
208;35;Pyerite;2
208;36;Mexallon;5
208;38;Nocxium;3
209;34;Tritanium;738
209;38;Nocxium;2
210;34;Tritanium;62
210;35;Pyerite;39
210;36;Mexallon;2
211;34;Tritanium;52
211;35;Pyerite;65
212;34;Tritanium;135
212;35;Pyerite;16
212;36;Mexallon;11
213;34;Tritanium;49
213;35;Pyerite;14
213;36;Mexallon;5
215;34;Tritanium;24
215;35;Pyerite;19
216;34;Tritanium;34
216;35;Pyerite;29
217;34;Tritanium;52
217;35;Pyerite;21
217;37;Isogen;1
218;34;Tritanium;106
218;36;Mexallon;1
218;37;Isogen;2
219;34;Tritanium;52
219;35;Pyerite;58
219;36;Mexallon;1
220;34;Tritanium;62
220;35;Pyerite;68
220;36;Mexallon;1
221;34;Tritanium;148
221;35;Pyerite;15
221;37;Isogen;3
222;34;Tritanium;184
222;35;Pyerite;15
222;38;Nocxium;1
223;34;Tritanium;148
223;35;Pyerite;15
223;37;Isogen;3
224;34;Tritanium;202
224;35;Pyerite;3
224;36;Mexallon;21
225;34;Tritanium;122
225;35;Pyerite;149
225;36;Mexallon;2
226;34;Tritanium;371
226;35;Pyerite;2
226;36;Mexallon;3
226;37;Isogen;3
226;38;Nocxium;1
227;34;Tritanium;405
227;36;Mexallon;29
227;38;Nocxium;1
228;34;Tritanium;231
228;35;Pyerite;270
228;36;Mexallon;4
229;34;Tritanium;473
229;35;Pyerite;120
229;36;Mexallon;2
229;37;Isogen;10
230;34;Tritanium;404
230;35;Pyerite;375
230;36;Mexallon;6
231;34;Tritanium;224
231;35;Pyerite;178
231;37;Isogen;1
232;34;Tritanium;468
232;35;Pyerite;90
232;36;Mexallon;2
232;37;Isogen;2
232;38;Nocxium;2
233;34;Tritanium;460
233;35;Pyerite;385
234;34;Tritanium;412
234;35;Pyerite;522
235;34;Tritanium;936
235;35;Pyerite;140
235;36;Mexallon;94
236;34;Tritanium;1112
236;35;Pyerite;201
236;36;Mexallon;99
237;34;Tritanium;1376
237;36;Mexallon;80
237;37;Isogen;21
238;34;Tritanium;1600
238;35;Pyerite;114
238;36;Mexallon;80
238;37;Isogen;26
239;35;Pyerite;7
239;37;Isogen;3
239;38;Nocxium;1
239;39;Zydrine;1
240;34;Tritanium;4
240;35;Pyerite;1
240;36;Mexallon;2
240;37;Isogen;3
240;38;Nocxium;3
241;34;Tritanium;4
241;36;Mexallon;3
241;37;Isogen;7
242;34;Tritanium;3
242;35;Pyerite;1
242;36;Mexallon;2
242;37;Isogen;9
243;34;Tritanium;2
243;35;Pyerite;3
243;36;Mexallon;2
243;37;Isogen;11
244;34;Tritanium;2
244;36;Mexallon;10
244;37;Isogen;1
244;39;Zydrine;1
245;34;Tritanium;2
245;35;Pyerite;5
245;36;Mexallon;4
245;37;Isogen;2
245;38;Nocxium;2
245;39;Zydrine;1
246;35;Pyerite;4
246;37;Isogen;3
246;38;Nocxium;3
246;39;Zydrine;1
247;34;Tritanium;24
247;36;Mexallon;12
247;37;Isogen;3
247;38;Nocxium;17
247;39;Zydrine;2
247;40;Megacyte;2
248;36;Mexallon;53
248;37;Isogen;3
248;38;Nocxium;3
248;40;Megacyte;2
249;35;Pyerite;2
